"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2483","O00232","PSMD12",17044.57813,15917.3877,17894.74414,19357.25781,NA,NA,85.3861618,NA,12.4876946509584,7.85202940559261,8.31490838880501,7.12748971573184e-05,0.000183610332894396,2.29467994145365,"UP"
"2484","P13521","SCG2",3828.405029,4228.918457,4346.792969,3975.999756,173.5980682,129.3167572,411.9603882,511.1439819,3.95720328496367,10.0196110995118,8.31521589752937,7.1257962522583e-05,0.000183610332894396,2.29491546262643,"UP"
"2485","P61201","COPS2",10567.80469,11565.80273,12479.32617,11087.68359,NA,NA,70.12535858,NA,11.9392758746642,7.50771096625774,8.31432373249055,7.13071069749611e-05,0.000183619387337133,2.29423212774311,"UP"
"2486","Q14166","TTLL12",15077.01855,14454.13477,14386.58008,15375.13965,NA,NA,79.35883331,NA,12.2730027547286,7.71859755569871,8.31177920717653,7.14474814329799e-05,0.000183906851846194,2.29228278368081,"UP"
"2487","P63173","RPL38",5285.457031,5388.609863,4457.666016,4957.71875,262.0291443,46.14191055,39.60144424,203.9237366,5.63544476625145,9.47282728582794,8.30831069961646,7.16393328303311e-05,0.000184252448063219,2.289624583507,"UP"
"2488","Q15223","NECTIN1",4241.96582,6217.542969,4701.57959,5925.649414,887.487915,403.4480591,747.6313477,291.4747925,3.29753919177069,10.6975943705219,8.30840264458658,7.16342396279592e-05,0.000184252448063219,2.28969506331651,"UP"
"2489","Q2Y0W8","SLC4A8",24246.28125,18797.42969,18322.27539,22621.34961,NA,32.64707184,33.42627335,50.62131882,10.3807421495731,9.1573066399423,8.30217703239076,7.19800276661284e-05,0.000185054317812598,2.28492103006858,"UP"
"2490","P00505","GOT2",118901.8359,134970.5156,118993.5078,139806.1875,NA,217.4080963,NA,NA,15.0211127467957,9.45327700518454,8.2997744151385,7.21139800565311e-05,0.000185249842786729,2.28307761826986,"UP"
"2491","P30041","PRDX6",116900.625,133070.8906,135134.0938,134336.3281,78.47521973,NA,68.60337067,NA,13.8757017245476,10.0462304779617,8.30007063104595,7.20974500024907e-05,0.000185249842786729,2.28330492033335,"UP"
"2492","Q9H330","TMEM245",5928.151855,5066.008789,4839.669922,4860.275879,784.0401001,652.6954956,223.0995941,317.5380249,3.55905586176123,10.5526318063871,8.29793746951127,7.22165848097516e-05,0.000185438975199679,2.28166784502404,"UP"
