rank,PG.Genes,row_mean.HN_H
618,WDR6,499.5053859
619,DHRS7,498.3574067
620,TWF2,497.7647477
621,RAB3A,497.0169449
622,TMEM245,494.3433037
623,COQ10A,492.052419
624,SERBP1,490.685374
625,TUBE1,488.9180603
626,TPP1,486.3866984
627,NCSTN,485.9009934
628,ALG10;ALG10B,485.6461678
629,DNAJC18,484.4855213
630,CPNE7,484.3234787
631,ESYT2,483.4771271
632,ECH1,483.4703102
633,RET,483.0760803
634,TBCB,482.9335499
635,BMT2,482.8349711
636,PICALM,481.7982102
637,PTK2,480.7199097
638,SEPHS2,479.9424896
639,LINGO1,479.0044174
640,ZFAND1,478.2246399
641,TARS2,478.1741587
642,ACTL6A,477.9858856
643,GMIP,477.2886581
644,FBXO7,475.9133835
645,NUMB,475.2489548
646,YIPF6,474.8477936
647,VAPA,474.8045502
648,SCN9A,473.3583908
649,GNB4,472.7769318
650,AGPAT4,472.7722931
651,TMEM222,472.018549
652,CANX,471.4738045
653,ALDH6A1,468.2967377
654,ABI2,468.2279129
655,WASF1,467.8954239
656,CASP3,467.5777664
657,VGF,467.2494202
658,PRKACG,467.1471863
659,PORCN,466.1434689
660,CCDC167,465.3539697
661,PLCXD3,465.3246021
662,EPM2AIP1,464.5711364
663,UBE2L3,464.5235367
664,SDHC,462.3000642
665,SLMAP,461.7122281
666,FSCN1,460.341713
667,CAMSAP3,460.154274
668,HSD17B10,459.6307144
669,CBLB,458.6816559
670,SH3KBP1,456.9790472
671,SLC1A4,456.7067948
672,LONP1,456.3674774
673,MAP4K3,455.7147451
674,KATNB1,455.5636927
675,KIF2A,455.4556046
676,RAB35,455.2195358
677,ACADVL,454.7594986
678,HTT,454.0568466
679,PUSL1,453.8318786
680,MPP7,453.6972637
681,HDAC6,452.309761
682,MRPL3,451.7794934
683,PHPT1,449.9962616
684,SLC25A4,449.9218903
685,SNAP47,449.8091087
686,TBCA,449.5623703
687,PAXX,449.5079918
688,EIF4G3,449.2053337
689,SYT6,448.8925858
690,TMEM120B,448.7479945
691,MRE11,448.4528605
692,EI24,447.9731903
693,SETD3,447.7752781
694,HSPA14,447.4853516
695,PSMD13,445.2271118
696,RTL8C,444.9423637
697,NCDN,444.0232391
698,NUP98,442.4964829
699,PFN2,441.3823891
700,NCAM1,441.1938019
701,PCYT2,440.3878632
702,AGO1,439.2635117
703,COX5B,438.9356289
704,RCN1,437.9928117
705,TXNL1,437.2197533
706,KIF21A,436.7546196
707,HSD17B8,434.8407059
708,EPHB2,434.4941673
709,USP8,434.4258321
710,UBTD2,434.0717144
711,RPL7A,433.8155899
712,RASAL2,433.2311611
713,FDFT1,433.1860618
714,PNP,433.1610209
715,TCP1,433.0425968
716,TMEM177,432.9570694
717,SFXN4,431.7578736
718,PMM1,431.3865547
719,PDE1B,430.2950744
720,JPT1,429.8019867
721,LAMA5,429.5674031
722,ASIC1,428.4645538
723,FLNC,428.2583999
724,AKAP12,428.0907288
725,DIS3L2,426.4463959
726,EPHX2,425.5814743
727,TRNT1,425.4641876
728,CDK18,425.3030472
729,ASMTL,425.2619515
730,RAF1,424.5632782
731,FARP1,423.9716187
732,SPOCK1,421.0621338
733,RAB3B,420.7170219
734,ANAPC7,420.4246836
735,URI1,419.5883832
736,DNAJB2,418.904438
737,PRDX4,418.8048706
738,CCDC92,417.8196335
739,VAT1,417.2761841
740,GRK6,416.2224808
741,CC2D1A,415.2917481
742,ACSL3,414.6718521
743,SEC62,414.5295308
744,ASS1,414.0595093
745,MYO1C,413.5108986
746,ACTA2,413.496315
747,EFNB1,413.3709106
748,APEH,412.6764336
749,C1orf43,412.0928695
750,RUVBL2,411.1273193
751,MBOAT2,410.8935967
752,LHFPL4,410.1593119
753,RANBP1,409.6281357
754,BCAP31,408.9065628
755,SLC9A3R2,408.0317364
756,JAM2,406.8837948
757,PPTC7,406.061465
758,TBC1D9B,406.0301132
759,NDUFAF2,403.4244232
760,CALD1,402.1440099
761,CLIP3,402.0055585
762,C2CD4C,401.5549317
763,ATP5F1B,400.955225
764,GLUL,399.5209961
765,TXN2,399.4550323
766,SAMM50,398.2019501
767,USP27X,395.8402303
768,SEPTIN10,394.8963674
769,SLC6A8,394.269989
770,CLTC,393.872715
771,FKBP3,393.5215988
772,CAD,393.2300339
773,LUZP1,389.1242486
774,ATP2B4,388.3355751
775,TRAPPC10,386.3565884
776,DGKZ,385.4223531
777,ASL,385.2192202
778,ANP32E,384.8165334
779,ARL6,383.371624
780,BAD,382.7027283
781,EXOC2,382.0612488
782,DHRS11,381.5768293
783,MPST,380.8265305
784,UBA1,380.0968
785,PALD1,379.1644382
786,RTKN,377.4956131
787,RABIF,377.2952652
788,RAB28,376.7383219
789,SNX4,376.0292244
790,CYFIP1,374.2542382
791,CLDND1,373.7935638
792,NFASC,373.6588669
793,CNTNAP5,372.3463592
794,ALKBH4,371.7929713
795,RAB2B,371.4815464
796,ALDH7A1,370.7563896
797,RFC5,370.0412674
798,COPS3,369.9735642
799,PITPNA,369.7544747
800,NEFM,368.8456421
801,LANCL1,367.7459107
802,DBN1,366.6373329
803,SNX9,366.2657929
804,NDUFA9,366.2388763
805,ARRDC1,365.9697978
806,PIGU,365.1903343
807,LPCAT4,365.1642742
808,PPP6C,365.1290359
809,COX7A2,364.2598934
810,CPE,363.9144497
811,IPO9,362.7204336
812,DPH2,362.0618277
813,ADH5,361.0627785
814,ALB,359.5754738
815,NAT14,359.5612107
816,TXNDC15,358.8238958
817,PCLO,358.6156235
818,STK38,358.5908585
819,MMUT,357.7879944
820,DYNC1I2,356.8764849
821,MRPS24,355.2063064
822,CEP131,354.961113
823,TOR1B,354.4568319
824,ALDOA,352.8652268
825,INPP4A,352.8166466
826,BRAF,352.5947952
827,VAV3,351.1273422
828,KIRREL1,350.4885216
829,CDC34,349.3253021
830,VDAC1,349.1898785
831,IDI1,349.0519648
832,NTF3,348.8909779
833,NFS1,348.1397171
834,CAPRIN1,346.4322662
835,NAA30,346.0120774
836,ZYX,345.897713
837,GMPR2,345.205719
838,PRPS1,343.7595673
839,DCAF7,343.7049573
840,LAMTOR1,340.0186462
841,PTPRK,340.0119743
842,ATP1A3,339.2865906
843,CA4,339.2425385
844,RNF25,338.8036413
845,APOE,338.7198439
846,SQLE,338.5895844
847,RCAN1,338.3686867
848,MON2,338.2575302
849,HSD17B4,338.0415869
850,PIH1D1,337.719326
851,PREPL,336.9411583
852,SEMA4D,336.4640312
853,GPC6,336.4383097
854,PLS3,336.0818596
855,RAD23B,335.4529495
856,MICAL3,335.2582016
857,CCM2,333.9510727
858,BICD2,333.8935903
859,BCAT2,333.4364586
860,WDR82,333.0762278
861,AKAP2,332.7296524
862,FXYD6,332.7168722
863,MTX3,332.7090664
864,SPRY4,332.4789319
865,MYH10,331.0095139
866,NHLRC2,330.027138
867,PRDX2,328.1404743
868,XPNPEP1,327.6175232
869,BAX,327.1987839
870,ATP5ME,327.0096003
871,EPB41L1,326.1190605
872,TDRKH,325.7840748
873,SURF4,325.4906464
874,EIF1B,325.4885331
875,H1-10,325.0019207
876,MINDY1,324.8124542
877,TRAPPC12,324.7144597
878,SFXN3,324.1940918
879,MDH1,323.876667
880,RABL3,323.2305603
881,CNN3,322.888279
882,RGS12,322.6023178
883,FASTKD5,321.9329796
884,DLG1,320.773592
885,RALB,320.4320603
886,NT5C3B,320.3457222
887,CLNS1A,320.0158863
888,ATP6V1B2,319.9007721
889,SH3PXD2B,319.7066383
890,CYB5B,319.4314372
891,NUDT11,319.2226754
892,YOD1,318.6409454
893,PCNT,318.5205383
894,GCN1,317.9459533
895,RAPGEF6,317.6792399
896,NRP2,317.5894814
897,CTTNBP2,317.1563771
898,UBFD1,315.6510035
899,EEF1E1,315.0679321
900,NAPB,315.0274925
901,ARRB2,314.5648308
902,FAM3C,314.1270141
903,SRGAP2,313.6085129
904,PPP1R13B,313.4089165
905,TMEM178A,313.2811585
906,ROR2,313.0185127
907,CDH11,312.8944728
908,ARL2,312.5660534
909,CXADR,312.5369911
910,PITHD1,311.8625755
911,MAP2K1,311.3297043
912,GNAI2,310.6989441
913,TMED5,309.6517377
914,LRRC57,308.7557983
915,MSI2,308.612676
916,ZNF638,308.0289713
917,ANXA4,307.7193279
918,NME7,307.6256771
919,DISP2,307.510746
920,ANO10,307.2437042
921,TAOK1,307.1339931
922,SLC6A9,306.5949383
923,DTX3,306.5821915
924,SCG2,306.5047989
925,ACTR3B,306.4845352
926,LIMK1,305.7581736
927,PRXL2A,305.3651781
928,MCU,305.2268791
929,NAPRT,303.054594
930,UROS,303.0111898
931,TRAPPC11,302.3984356
932,RAB1B,302.2191162
933,RUVBL1,300.872488
934,PHLDB1,300.6669388
935,OS9,300.1467381
936,DNPH1,299.7752915
937,TSNAX,299.1649208
938,STX18,298.9217033
939,KSR1,298.822525
940,TBRG4,298.6104317
941,APOO,298.3533561
942,KRT18,297.6897249
943,EFNB3,297.489034
944,CRMP1,297.1880856
945,STARD3NL,296.29481
946,SRI,296.1495571
947,NCBP2,295.3816071
948,REEP2,295.3639107
949,ATP13A1,295.0990639
950,KIF1B,295.0263392
951,XPO7,294.8549271
952,SYVN1,293.9304148
953,SOGA3,293.7852173
954,RPL9,293.4299189
955,NDUFAF3,291.951293
956,AHNAK,291.5446459
957,SLC27A3,291.1564547
958,PSPH,289.8095417
959,SNX17,289.6562246
960,GABARAPL1,289.5378628
961,OSGEP,289.0912221
962,SEMA7A,288.6401982
963,MRPL27,287.5570336
964,MAP2K6,287.4807816
965,TBCEL,287.4428685
966,SNPH,287.2842039
967,EIF4A3,287.2577953
968,BSCL2,286.759613
969,VKORC1,286.6997884
970,RABGEF1,286.6138764
971,BAIAP2,286.5353143
972,CKMT1A,286.0750332
973,AK1,285.8871326
974,STAU1,285.4942617
975,NLGN4X,282.5425224
976,EFL1,282.5172386
977,PRDM10,281.0776367
978,VPS8,280.6839581
979,NEDD4L,280.6166763
980,SHTN1,279.8570353
981,SNAP29,279.7421265
982,ATP1B2,279.6129313
983,RPL10A,279.6114159
984,SUMF2,279.5461693
985,RECQL4,279.4426146
986,FBXL20,279.3463033
987,CCDC90B,278.705986
988,FH,277.6303736
989,MRPL39,277.5369415
990,PRKAA2,276.9189453
991,DYNC1H1,276.7703056
992,MRPL1,275.9873619
993,NCK2,275.6863289
994,MRPL22,274.3590603
995,ACSS2,273.8704195
996,RAB8A,273.1228323
997,FLAD1,272.4901021
998,CLIC1,271.9111735
999,PPP5C,271.6954867
1000,PPM1H,271.6651039
1001,DAB2IP,271.4978536
1002,FNTA,271.1356087
1003,CHRNA4,270.8240636
